NO,개설부서,교과목-분반,교과목명,이수구분,세부분류,교과연구,담당교수,"과정
구분",강/실/학,시간표,강의실,"수강
정원","강의
계획서","설명
영상",강의언어
1,AI융합 부전공,AI2002-01,디지털 유니버스 콜로퀴움,필수,,교과,황치옥[60934],학사,1/0/1,목 16:00~17:00,,50,view,,English/Korean
2,AI융합 부전공,AI3050-01,프로그래밍 언어 및 컴파일러,선택,,교과,소순범[64560],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",전기전자컴퓨터공학부B(B201),29,view,,English
3,AI융합 부전공,AI3301-01,(MOOC 지정) 인공지능 로봇의 윤리,선택,,교과,김건우[61974],학사,3/0/3,"월 09:00~10:30
수 09:00~10:30",,20,view,,Korean
4,AI융합 부전공,AI4001-01,AI 핵심기술 기반 실무 프로젝트 2,필수,,교과,공득조[62553],학사,1/4/3,금 13:00~18:00,금호정보통신연구동(금호관)(201),20,view,,Korean
5,AI융합 부전공,AI4003-01,인공지능 경험 랩,선택,,교과,김의환[64023],학사,1/4/3,"월 16:00~18:30
수 16:00~18:30",,0,view,,English
6,AI융합 부전공,AI4021-01,기계학습 및 딥러닝,필수,,교과,김선동[64338],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,80,view,,English
7,AI융합 부전공,AI4450-01,지능형 모터 융합 프로젝트,선택,,교과,허필원[63766],학사,2/2/3,금 13:00~17:00,기계공학부(228),0,view,,English
8,생명과학부,BS2103-01,생화학·분자생물학 실험,필수,,교과,"김영준[60665]
김준영[61444]
진석원[61956]",학사,1/4/3,화 13:00~18:00,,12,view,,English/Korean
9,생명과학부,BS2103-02,생화학·분자생물학 실험,필수,,교과,"김영준[60665]
김준영[61444]
진석원[61956]",학사,1/4/3,금 13:00~18:00,,10,view,,English/Korean
10,생명과학부,BS2104-01,생화학 I,필수,,교과,"박철승[01096]
엄수현[01123]
이선재[63721]",학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",생명과학부(BT포함)(121),0,view,,English
11,생명과학부,BS2201-01,생명과학의 정량적 이해,선택,,교과,엄수현[01123],학사,2/0/2,목 14:00~16:00,생명과학부(BT포함)(326),0,view,,English
12,생명과학부,BS2202-01,유전학,선택,,교과,진석원[61956],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",생명과학부(BT포함)(223),0,view,,English
13,생명과학부,BS2204-01,기초 해부조직학,선택,,교과,남정석[62330],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",실험동물자원센터(111),0,view,,English/Korean
14,생명과학부,BS2205-01,생명정보학 개론,선택,,교과,이선재[63721],학사,3/0/3,"화 10:30~12:00
목 10:30~12:00",생명과학부(BT포함)(223),0,view,,English/Korean
15,생명과학부,BS3101-01,생화학 II,필수,,교과,허윤현[63163],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",,30,view,,English
16,생명과학부,BS3201-01,미생물학,선택,,교과,박대호[30565],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",생명과학부(BT포함)(428),0,view,,English
17,생명과학부,BS3205-01,환경생태학,선택,,교과,김은석[61667],학사,3/0/3,"화 13:00~14:30
목 13:00~14:30",삼성환경연구동(211),0,view,,English
18,생명과학부,BS3208-01,면역학,선택,,교과,최진욱[64206],학사,3/0/3,"화 10:30~12:00
목 10:30~12:00",생명과학부(BT포함)(428),0,view,,English
19,생명과학부,BS4217-01,생리학 Ⅱ,선택,,교과,박우진[01100],학사,3/0/3,"화 10:30~12:00
목 10:30~12:00",생명과학부(BT포함)(326),0,view,,English
20,생명과학부,BS9102-01,학사논문연구 I,연구,,논문연구,,학사,0/0/3,,,0,view,,
21,생명과학부,BS9103-01,학사논문연구 II,연구,,논문연구,,학사,0/0/3,,,0,view,,
22,화학과,CH2104-01,물리화학 B,필수,,교과,방윤수[61199],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",,0,view,,English
23,화학과,CH2105-01,화학합성실험,필수,,교과,"서준혁[62856]
정원진[61972]
함혜진[62758]",학사,1/4/3,"월 19:00~20:00
화 13:00~17:00",,20,view,,English
24,화학과,CH2201-01,유기화학 II,선택,,교과,안진희[62296],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,0,view,,English
25,화학과,CH2401-01,화학전공연구 I,선택,,교과,"김민곤[61317]
김정욱[62297]
김현우[64144]
박정은[64143]
박진주[60957]
방윤수[61199]
서준혁[62856]
서지원[60955]
안진희[62296]
이강택[61665]
이호재[61770]
임현섭[63380]
정원진[61972]
한민수[62071]",학사,0/3/1,일 09:00~12:00,,0,view,,English/Korean
26,화학과,CH3205-01,물리유기화학,선택,,교과,한민수[62071],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,0,view,,English
27,화학과,CH3401-01,화학전공연구 Ⅱ,선택,,교과,"김민곤[61317]
김정욱[62297]
김현우[64144]
박정은[64143]
박진주[60957]
방윤수[61199]
서준혁[62856]
서지원[60955]
안진희[62296]
이강택[61665]
이호재[61770]
임현섭[63380]
정원진[61972]
한민수[62071]",학사,0/3/1,일 13:00~16:00,,0,view,,English/Korean
28,화학과,CH3402-01,화학전공연구 III,선택,,교과,"김민곤[61317]
김정욱[62297]
김현우[64144]
박정은[64143]
박진주[60957]
방윤수[61199]
서준혁[62856]
서지원[60955]
안진희[62296]
이강택[61665]
이호재[61770]
임현섭[63380]
정원진[61972]
한민수[62071]",학사,0/3/1,일 09:00~12:00,,0,view,,English/Korean
29,화학과,CH4205-01,생유기화학과 바이오의약품,선택,,교과,서지원[60955],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",,0,view,,English
30,화학과,CH4208-01,무기화학 II,선택,,교과,서준혁[62856],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,0,view,,English/Korean
31,화학과,CH4213-01,기기분석,선택,,교과,임현섭[63380],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,0,view,,English
32,화학과,CH4219-01,생화학 II,선택,,교과,김정욱[62297],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,0,view,,English
33,화학과,CH4220-01,물리화학의 응용,선택,,교과,이강택[61665],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,0,view,,English
34,화학과,CH4221-01,계산화학,선택,,교과,최준호[62923],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,0,view,,English
35,화학과,CH4222-01,에너지 변환과 저장,선택,,교과,김상륜[64069],학사,3/0/3,화 09:00~12:00,신재생에너지연구동(309),20,view,,English
36,화학과,CH9102-01,학사논문연구 I,연구,,논문연구,,학사,0/0/3,,,0,view,,
37,화학과,CH9103-01,학사논문연구 II,연구,,논문연구,,학사,0/0/3,,,0,view,,
38,문화기술 부전공,CT2502-01,현대 예술의 이해,선택,,교과,,학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,12,view,,Korean
39,문화기술 부전공,CT2544-01,문화콘텐츠의 이해,선택,,교과,윤필상[63439],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,30,view,,Korean
40,문화기술 부전공,CT2661-01,논리학 입문,선택,,교과,원치욱[62072],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",,30,view,,Korean
41,문화기술 부전공,CT2824-01,문명과 수학,선택,,교과,김홍종[63637],학사,3/0/3,"화 10:30~12:00
목 10:30~12:00",,30,view,,English/Korean
42,문화기술 부전공,CT4202-01,영상 커뮤니케이션,선택,,교과,송은성[63802],학사,3/0/3,"화 10:30~12:00
목 10:30~12:00",,25,view,,English
43,문화기술 부전공,CT4303-01,게임 인공지능,선택,,교과,김경중[63332],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",다산빌딩(학제융합연구동)(112),20,view,,English
44,문화기술 부전공,CT4304-01,피지컬 컴퓨팅 스튜디오,선택,,교과,송은성[63802],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",,25,view,,English
45,문화기술 부전공,CT4305-01,서비스러닝 프로젝트,선택,,교과,송은성[63802],학사,3/0/3,"월 09:00~10:30
수 09:00~10:30",,25,view,,English
46,문화기술 부전공,CT4504-01,과학계산 프로그래밍,선택,,교과,황치옥[60934],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,30,view,,English/Korean
47,인문학·사회과학 부전공,EB2724-01,거시경제학원론,선택,,교과,김상호[61574],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,30,view,,English
48,인문학·사회과학 부전공,EB2751-01,전략경영 I,선택,,교과,진규호[62454],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,30,view,,Korean
49,인문학·사회과학 부전공,EB2753-01,기술벤처창업론,선택,,교과,진규호[62454],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",,30,view,,Korean
50,인문학·사회과학 부전공,EB3736-01,통일독일과 남북통일,선택,,교과,김상호[61574],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,30,view,,Korean
51,인문학·사회과학 부전공,EB3754-01,사회물리학: 네트워크적 접근,선택,,교과,진규호[62454],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,30,view,,Korean
52,전기전자컴퓨터공학부,EC2201-01,회로이론,선택,,교과,박창수[63581],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",전기전자컴퓨터공학부B(B203),30,view,,English
53,전기전자컴퓨터공학부,EC2204-01,컴퓨터 구조,선택,,교과,브라이언 도리얼[63478],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,40,view,,English
54,전기전자컴퓨터공학부,EC2204-02,컴퓨터 구조,선택,,교과,브라이언 도리얼[63478],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,40,view,,English
55,전기전자컴퓨터공학부,EC2205-01,공학전자기학 II,선택,,교과,송영민[62450],학사,3/0/3,"월 09:00~10:30
수 09:00~10:30",,30,view,,English
56,전기전자컴퓨터공학부,EC2206-01,알고리즘 개론,선택,,교과,수만 판데[63982],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,40,view,,English
57,전기전자컴퓨터공학부,EC2206-02,알고리즘 개론,선택,,교과,수만 판데[63982],학사,3/0/3,"화 14:30~16:00
목 14:30~16:00",,40,view,,English
58,전기전자컴퓨터공학부,EC3101-01,전자공학실험,필수,,교과,"김병돈[61433]
김홍국[01176]",학사,1/4/3,"화 10:30~11:30
화 13:00~17:00",,10,view,,English
59,전기전자컴퓨터공학부,EC3101-02,전자공학실험,필수,,교과,"김병돈[61433]
김홍국[01176]",학사,1/4/3,"화 10:30~11:30
수 13:00~17:00",,10,view,,English
60,전기전자컴퓨터공학부,EC3101-03,전자공학실험,필수,,교과,"김병돈[61433]
김홍국[01176]",학사,1/4/3,"화 10:30~11:30
금 13:00~17:00",,10,view,,English
61,전기전자컴퓨터공학부,EC3204-01,프로그래밍 언어 및 컴파일러,선택,,교과,소순범[64560],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",전기전자컴퓨터공학부B(B201),29,view,,English
62,전기전자컴퓨터공학부,EC3206-01,반도체 재료 및 소자,선택,,교과,강동호[64046],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,30,view,,English
63,전기전자컴퓨터공학부,EC3212-01,고급전자회로,선택,,교과,이병근[60959],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",,0,view,,English
64,전기전자컴퓨터공학부,EC3215-01,시스템 프로그래밍,선택,,교과,"손진희[63887]
오용[61946]",학사,3/1/3,"화 14:30~16:00
목 14:30~16:00
목 16:00~17:00",,15,view,,English
65,전기전자컴퓨터공학부,EC3215-02,시스템 프로그래밍,선택,,교과,"손진희[63887]
오용[61946]",학사,3/1/3,"화 14:30~16:00
목 14:30~16:00
목 17:00~18:00",,15,view,,English
66,전기전자컴퓨터공학부,EC3218-01,통신공학,선택,,교과,유남열[61970],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,0,view,,English
67,전기전자컴퓨터공학부,EC4202-01,디지털 집적회로,선택,,교과,이민재[61406],학사,3/0/3,"화 10:30~12:00
목 10:30~12:00",전기전자컴퓨터공학부B(B201),20,view,,English
68,전기전자컴퓨터공학부,EC4203-01,초고주파공학,선택,,교과,김강욱[60178],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",,20,view,,English
69,전기전자컴퓨터공학부,EC4204-01,데이터 베이스 시스템,선택,,교과,수만 판데[63982],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",,40,view,,English
70,전기전자컴퓨터공학부,EC4206-01,컴퓨터 네트워킹,선택,,교과,수만 판데[63982],학사,3/0/3,"화 13:00~14:30
목 13:00~14:30",,40,view,,English
71,전기전자컴퓨터공학부,EC4207-01,그래프 이론,선택,,교과,최정옥[61376],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,30,view,,English/Korean
72,전기전자컴퓨터공학부,EC4213-01,기계학습 및 딥러닝,선택,,교과,김선동[64338],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,80,view,,English
73,전기전자컴퓨터공학부,EC4214-01,광공학개론,선택,,교과,정현호[63502],학사,3/0/3,"화 10:30~12:00
목 10:30~12:00",전기전자컴퓨터공학부B(B203),15,view,,English
74,전기전자컴퓨터공학부,EC4221-01,지능형 모터 융합 프로젝트,선택,,교과,허필원[63766],학사,2/2/3,금 13:00~17:00,기계공학부(228),0,view,,English
